,current_2010_2yearflood_base_historical,current_2010_5yearflood_base_historical,current_2010_10yearflood_base_historical,current_2010_25yearflood_base_historical,current_2010_50yearflood_base_historical,current_2010_100yearflood_base_historical,current_2010_250yearflood_base_historical,current_2010_500yearflood_base_historical,current_2010_1000yearflood_base_historical,optimistic_2030_2yearflood_ssp2_rcp4p5,optimistic_2030_5yearflood_ssp2_rcp4p5,optimistic_2030_10yearflood_ssp2_rcp4p5,optimistic_2030_25yearflood_ssp2_rcp4p5,optimistic_2030_50yearflood_ssp2_rcp4p5,optimistic_2030_100yearflood_ssp2_rcp4p5,optimistic_2030_250yearflood_ssp2_rcp4p5,optimistic_2030_500yearflood_ssp2_rcp4p5,optimistic_2030_1000yearflood_ssp2_rcp4p5,business_as_usual_2030_2yearflood_ssp2_rcp8p5,business_as_usual_2030_5yearflood_ssp2_rcp8p5,business_as_usual_2030_10yearflood_ssp2_rcp8p5,business_as_usual_2030_25yearflood_ssp2_rcp8p5,business_as_usual_2030_50yearflood_ssp2_rcp8p5,business_as_usual_2030_100yearflood_ssp2_rcp8p5,business_as_usual_2030_250yearflood_ssp2_rcp8p5,business_as_usual_2030_500yearflood_ssp2_rcp8p5,business_as_usual_2030_1000yearflood_ssp2_rcp8p5,pessimistic_2030_2yearflood_ssp3_rcp8p5,pessimistic_2030_5yearflood_ssp3_rcp8p5,pessimistic_2030_10yearflood_ssp3_rcp8p5,pessimistic_2030_25yearflood_ssp3_rcp8p5,pessimistic_2030_50yearflood_ssp3_rcp8p5,pessimistic_2030_100yearflood_ssp3_rcp8p5,pessimistic_2030_250yearflood_ssp3_rcp8p5,pessimistic_2030_500yearflood_ssp3_rcp8p5,pessimistic_2030_1000yearflood_ssp3_rcp8p5,climate_change_2yearflood_only_base_rcp4p5,climate_change_5yearflood_only_base_rcp4p5,climate_change_10yearflood_only_base_rcp4p5,climate_change_25yearflood_only_base_rcp4p5,climate_change_50yearflood_only_base_rcp4p5,climate_change_100yearflood_only_base_rcp4p5,climate_change_250yearflood_only_base_rcp4p5,climate_change_500yearflood_only_base_rcp4p5,climate_change_1000yearflood_only_base_rcp4p5,climate_change_only_2yearflood_base_rcp8p5,climate_change_only_5yearflood_base_rcp8p5,climate_change_only_10yearflood_base_rcp8p5,climate_change_only_25yearflood_base_rcp8p5,climate_change_only_50yearflood_base_rcp8p5,climate_change_only_100yearflood_base_rcp8p5,climate_change_only_250yearflood_base_rcp8p5,climate_change_only_500yearflood_base_rcp8p5,climate_change_only_1000yearflood_base_rcp8p5,socio_econ_change_only_2yearflood_ssp2_historical,socio_econ_change_only_5yearflood_ssp2_historical,socio_econ_change_only_10yearflood_ssp2_historical,socio_econ_change_only_25yearflood_ssp2_historical,socio_econ_change_only_50yearflood_ssp2_historical,socio_econ_change_only_100yearflood_ssp2_historical,socio_econ_change_only_250yearflood_ssp2_historical,socio_econ_change_only_500yearflood_ssp2_historical,socio_econ_change_only_1000yearflood_ssp2_historical,socio_econ_change_only_2yearflood_ssp3_historical,socio_econ_change_only_5yearflood_ssp3_historical,socio_econ_change_only_10yearflood_ssp3_historical,socio_econ_change_only_25yearflood_ssp3_historical,socio_econ_change_only_50yearflood_ssp3_historical,socio_econ_change_only_100yearflood_ssp3_historical,socio_econ_change_only_250yearflood_ssp3_historical,socio_econ_change_only_500yearflood_ssp3_historical,socio_econ_change_only_1000yearflood_ssp3_historical,spatial_unit_name
0,0.0,48054177792.0,56902942720.0,98807300096.0,104226168832.0,109845405696.0,118301507584.0,123264204800.0,126669365248.0,16918077865.015081,78840726865.06314,119829161230.75606,161750590432.34448,170500878509.14447,192101547688.67072,202251277941.29974,215416269003.52826,221547950864.7841,6333295260.840141,64134923304.17617,99560759091.36955,159187539167.0179,173758998574.56708,181786525347.14362,198551625791.95425,207546353345.5227,217813172598.54892,5949372432.5571995,58601673663.46521,91446897497.63992,148692712267.1942,161524540566.64,168826592788.28595,184521452432.4661,192958705487.91595,202283762535.14703,10128773080.278578,45290773538.569725,66859920247.617004,96992489229.52147,101730197937.85352,114185601821.31812,121473551393.35474,128686796197.00366,131596838577.40097,4548050086.799997,34044515626.95919,55055309927.71712,102348985782.65067,106702497748.19653,111253411550.31125,122445958300.63266,128018397209.92505,133650520459.01099,0.0,83899455078.4,103840487014.4,160184120115.2,175888780492.8,186497651507.2,198672819814.4,207559653785.6,215240749875.2,0.0,77326672691.2,95240820326.4,149018207846.4,162885045452.8,172588471091.2,184051168051.2,192216621056.0,199106510848.0,"Gulf of Mexico, North Atlantic Coast"
1,0.0,37323235328.0,41056264192.0,43360153600.0,45238722560.0,47301636096.0,50443489280.0,52402397184.0,54817406976.0,9105381498.4,51697082777.6,61722412646.4,68834643968.0,72143809740.8,75401592012.8,80203557273.6,83403700633.6,86727009075.2,7706643993.6,60098313420.8,67003813888.0,70356428390.4,72597816115.2,75305016524.8,81286703513.6,84303165849.6,88174306099.2,7159381196.8,56270076313.6,62513282252.8,65571478732.8,67674190643.2,70235199078.4,75916541132.8,78752525516.8,82417487872.0,5491068713.499327,34085565421.24864,39834256160.44864,44000147935.96033,46207859584.80339,48537291322.07265,52183468437.64089,54317919091.34491,56722904897.08351,4637674538.547009,39349398270.407845,43104358756.807846,45018645644.945724,46543449840.42381,48478488172.70042,52832768204.35458,54869134325.264404,57598290109.395584,0.0,56741394841.6,63920646553.6,67912998092.8,70705089740.8,73614824243.2,77622615244.8,80531931136.0,83875626188.8,0.0,53151572787.2,59649035468.8,63301574656.0,65915865497.6,68665002393.6,72512673382.4,75249073356.8,78424085299.2,"United States, North Atlantic Coast"
2,0.0,173601079296.0,198291898368.0,216965906432.0,230928875520.0,241285939200.0,254755815424.0,264712650752.0,274878726144.0,67905141350.4,272208098099.2,312494368358.4,342751779225.6,364510691328.0,383549964288.0,404525364019.2,421457939660.8,437217148928.0,72505160908.8,282924613632.0,318340736614.4,352063376588.8,372259556556.8,389738122444.8,412324829593.6,428339973324.8,444905799680.0,67356732211.2,263273218048.0,295894525542.4,327124595507.2,345958537625.6,362140558950.4,383122728550.4,398019952640.0,413463278387.2,41777341952.0,173732456038.4,198776956518.4,217562850918.4,231771360460.8,243528699084.8,256862165401.6,267617006387.2,277878125363.2,44812197683.2,180769305395.2,202509143244.8,223349125939.2,236653920256.0,247503575449.6,261830059622.4,272086571417.6,282811039744.0,0.0,272082449203.2,312001190297.6,341695719014.4,363173724160.0,379817748070.4,400938657382.4,416460505088.0,432072284569.6,0.0,253200456089.6,290004736409.6,317492704051.2,337518818099.2,352924755558.4,372544333414.4,386982189465.6,401537862860.8,Mississippi - Missouri
3,0.0,14099741696.0,16955252736.0,20254541824.0,22164516864.0,24630153216.0,28602767360.0,30763632640.0,33633406976.0,1525333794.4,18402578022.4,24691281100.8,29504194150.4,33181770956.8,37120749977.6,43108917248.0,46794688512.0,51212384256.0,3090748492.8,17989103513.6,25428402995.2,31271561625.6,35018573004.8,39018017177.6,45100047564.8,49062941900.8,53963699404.8,2871477017.6,16692981862.4,23577490227.2,28972997017.6,32387247718.4,36072755609.6,41745708236.8,45380701798.4,49964355174.4,960149013.8,11604317184.0,15406887731.2,18235893964.8,20160897024.0,22442740940.8,26235519795.2,28219786444.8,31088583884.8,1986048704.0,11318478131.2,15874482585.6,19319047987.2,21273419776.0,23566543667.2,27429335859.2,29593885900.8,32774873907.2,0.0,22416801996.8,27180186009.6,32745446195.2,36420378624.0,40724661452.8,46981193728.0,50926774272.0,55346957107.2,0.0,20806175744.0,25204871168.0,30342364364.8,33689631948.8,37658415513.6,43493271961.6,47112162099.2,51249326080.0,Gulf Coast
4,0.0,46594109440.0,52409528320.0,59663032320.0,63732277248.0,67676086272.0,75195736064.0,79959007232.0,83780190208.0,18506988748.8,67387009433.6,84391111884.8,97641488384.0,105707542118.4,113217388544.0,123096568627.2,130813858611.2,137102237696.0,14291941766.4,75355115520.0,89176145920.0,102193846681.6,109470809292.8,116645558681.6,127809321369.6,136924974284.8,143046775603.2,13277048352.0,70242846310.4,83118651801.6,95342087372.8,102166784409.6,108847548006.4,119384204902.4,127946586521.6,133645300531.2,11117625958.4,42008625561.6,52422606028.8,61083614412.8,66255809740.8,70809961267.2,77646523596.8,82771315916.8,86552997888.0,8606229881.6,46766956544.0,55273178726.4,63803665612.8,68521013248.0,72868220928.0,80452502323.2,86391778508.8,90096640000.0,0.0,75148104499.2,84416512000.0,95259000832.0,101454385152.0,107927221043.2,118999490560.0,126100347289.6,132395712512.0,0.0,70050544025.6,78696991129.6,88899747840.0,94719615795.2,100747979980.8,111200024985.6,117890577203.2,123750255820.8,California
5,0.0,6022218752.0,7924614144.0,8663782400.0,9304615936.0,9414241280.0,9703770112.0,9864514560.0,10247755776.0,37177955.353126466,10810739698.867706,11395712955.180435,13497544948.360033,14665724111.064173,15672110211.829678,15837326322.765436,16398996580.697046,17248715518.924446,1030521321.4429722,12260238650.833332,13454069722.630882,14951251450.678833,15538042886.114115,15996805352.762943,16462175269.603779,16816281626.438776,17511549386.836205,957366896.4918076,11635226944.54032,12685108210.818134,14037957561.671219,14553448057.690872,14968686577.060675,15397124586.63259,15730255280.540985,16395993561.607126,25415051.810002502,7735950106.485293,7891040525.508112,9077291477.252033,9733946034.356388,10155735226.794947,10243773268.8717,10623404675.645672,11249661589.397528,608332683.466311,8733239544.140326,9021968437.108738,9626479359.987507,9964526574.993774,10172732733.716248,10425134460.982952,10660800110.468098,11198077627.887783,0.0,7569426121.6,11667965235.2,13485496115.2,14653319884.8,15089139404.8,15682460057.6,15918716620.8,16385011712.0,0.0,7296290787.2,11009842995.2,12636564684.8,13711780761.6,14090183168.0,14630450176.0,14853521305.6,15305037209.6,Great Basin
6,0.0,8130800128.0,10759516160.0,14849471488.0,15262534656.0,16017715200.0,16781120512.0,18859587584.0,19232894976.0,1523424509.3555107,11346243576.485905,16220609791.311993,21453991503.796623,22964309788.132866,24316390831.843193,26927534624.265545,29148886310.2919,29841559027.0919,1238715243.0483117,12382896157.795296,16572371498.477085,21919528602.544018,23067505442.374794,25037564613.559135,27121844536.292015,28640285858.677742,29920635412.626244,1151067921.298982,11626044130.765572,15496175388.535217,20582341858.02296,21642703627.847046,23485711346.35715,25417447240.53031,26848365651.344063,28035537477.261932,905071109.2977011,7585647484.133695,10516386325.324257,14497683115.486181,15270139012.505222,16163377047.128628,17669251758.77652,19229114927.973885,19460061539.173885,747333757.6228619,8250891387.343366,10746971136.630367,14683194527.060474,15356773823.478785,16610411670.046543,17804915044.457024,18799881560.91439,19530549884.926895,0.0,12261243187.2,16573129113.6,22017215078.4,22942309376.0,24070038323.2,25420699648.0,28237663232.0,29459261440.0,0.0,11510680268.8,15493297356.8,20689193369.6,21520466124.8,22579447398.4,23828786790.4,26518435635.2,27595859558.4,"North America, Colorado"
7,0.0,15329968128.0,20282882048.0,23118503936.0,23676946432.0,24708970496.0,26091094016.0,27315666944.0,27720253440.0,4367727273.6,25309443891.2,30522882457.6,35066936115.2,36570750156.8,38566682214.4,40661732556.8,42281276620.8,43321197772.8,6209510381.2,25892606976.0,31866649395.2,36789293056.0,38608252928.0,40315578368.0,42989838336.0,45211603353.6,46117033984.0,5768981714.165348,24268576280.13942,29781134941.55431,34337171037.55431,35977180304.6805,37535351340.58567,40027749307.33382,42120615728.42982,42939579840.36496,2712818254.4,17047344128.0,20273844019.2,23020541132.8,23763857408.0,24878807040.0,26252820480.0,27425256243.2,27960752537.6,3950970554.552246,17453648751.369007,20919975616.978226,24138410484.178226,25041166589.816032,25983135693.569542,27677861504.667347,29222425115.884285,29668818398.88155,0.0,22434241331.2,30530836070.4,35183839232.0,36428144640.0,38271054233.6,40372942438.4,42076709273.6,42917305139.2,0.0,21053147750.4,28546117632.0,32839050854.4,33947864678.4,35632257433.6,37592324096.0,39203707699.2,39962919321.6,Columbia and Northwestern United States
8,0.0,54087008.0,114741312.0,305901536.0,306583296.0,306583296.0,335831488.0,340555712.0,368087040.0,34441903.616749056,55179915.62467233,123756959.6193305,254338141.40366015,304139045.0798224,323092591.0086414,353481653.20129573,354563717.62170655,363371782.67740285,31738044.54316207,67565000.2220355,119070907.31410985,252692732.08561486,282468769.9336912,286213580.7242054,349131882.5805284,353036205.1538094,369816828.36895496,30045239.713439513,63792447.401094064,111266800.62108803,237167704.89343685,262525680.7842676,266313931.16469675,325471110.3716904,329033541.4088255,345198811.84256136,26547839.723153815,43022437.27322282,86607801.25177225,193646066.8621997,204233804.34201783,215801365.19927955,238431554.92452222,239554084.5506752,246682503.56475967,24770073.81521225,51318363.8999175,88914382.73227748,186143955.31084108,193534722.75448078,197539755.39729342,240892040.46876034,242991627.4880185,257941898.46811238,0.0,70204569.75970057,167347080.89375275,387866129.25649613,464358404.27510035,471919469.8751003,505334031.27509433,515945203.8547942,695492343.39823,0.0,66286150.5054723,154920139.96114376,368520076.3750344,429898242.8247506,435611295.6247506,467919635.4039817,477047335.27880704,625286955.2664862,Fraser
9,0.0,6722042880.0,9271402496.0,9640020992.0,10112453632.0,10340579328.0,10665411584.0,11083859968.0,11138043904.0,650099328.0,12026306099.2,14560668467.2,15614156185.6,16311615692.8,16699114496.0,17402001817.6,17970587033.6,18447773081.6,2713414805.863097,10874158598.249798,14218649432.164572,15894367840.212357,16404770328.94546,16837666889.497345,17422954072.91731,18207544698.30595,18393579488.70595,2518425112.8820667,10095802752.228039,13239561256.089397,14766909027.776453,15248021618.881567,15650719813.314234,16194669439.810303,16932395111.175848,17093390234.375849,467136006.4,7535750809.6,9281460224.0,9800101888.0,10266019020.8,10511183667.2,10945064345.6,11369884672.0,11583756083.2,1721168346.9648423,6783976735.335288,9025392720.70661,10001893928.851357,10356514586.732141,10630018966.762417,10999101935.359196,11511297463.358288,11575987537.733826,0.0,10726789529.6,14557056819.2,15362240102.4,16072936448.0,16425842073.6,16954372300.8,17513202278.4,17753217638.4,0.0,9959126169.6,13553824768.0,14272727859.2,14939491328.0,15267992166.4,15759239987.2,16292868505.6,16498259353.6,Pacific and Arctic Coast
