,current_2010_2yearflood_base_historical,current_2010_5yearflood_base_historical,current_2010_10yearflood_base_historical,current_2010_25yearflood_base_historical,current_2010_50yearflood_base_historical,current_2010_100yearflood_base_historical,current_2010_250yearflood_base_historical,current_2010_500yearflood_base_historical,current_2010_1000yearflood_base_historical,optimistic_2030_2yearflood_ssp2_rcp4p5,optimistic_2030_5yearflood_ssp2_rcp4p5,optimistic_2030_10yearflood_ssp2_rcp4p5,optimistic_2030_25yearflood_ssp2_rcp4p5,optimistic_2030_50yearflood_ssp2_rcp4p5,optimistic_2030_100yearflood_ssp2_rcp4p5,optimistic_2030_250yearflood_ssp2_rcp4p5,optimistic_2030_500yearflood_ssp2_rcp4p5,optimistic_2030_1000yearflood_ssp2_rcp4p5,business_as_usual_2030_2yearflood_ssp2_rcp8p5,business_as_usual_2030_5yearflood_ssp2_rcp8p5,business_as_usual_2030_10yearflood_ssp2_rcp8p5,business_as_usual_2030_25yearflood_ssp2_rcp8p5,business_as_usual_2030_50yearflood_ssp2_rcp8p5,business_as_usual_2030_100yearflood_ssp2_rcp8p5,business_as_usual_2030_250yearflood_ssp2_rcp8p5,business_as_usual_2030_500yearflood_ssp2_rcp8p5,business_as_usual_2030_1000yearflood_ssp2_rcp8p5,pessimistic_2030_2yearflood_ssp3_rcp8p5,pessimistic_2030_5yearflood_ssp3_rcp8p5,pessimistic_2030_10yearflood_ssp3_rcp8p5,pessimistic_2030_25yearflood_ssp3_rcp8p5,pessimistic_2030_50yearflood_ssp3_rcp8p5,pessimistic_2030_100yearflood_ssp3_rcp8p5,pessimistic_2030_250yearflood_ssp3_rcp8p5,pessimistic_2030_500yearflood_ssp3_rcp8p5,pessimistic_2030_1000yearflood_ssp3_rcp8p5,climate_change_2yearflood_only_base_rcp4p5,climate_change_5yearflood_only_base_rcp4p5,climate_change_10yearflood_only_base_rcp4p5,climate_change_25yearflood_only_base_rcp4p5,climate_change_50yearflood_only_base_rcp4p5,climate_change_100yearflood_only_base_rcp4p5,climate_change_250yearflood_only_base_rcp4p5,climate_change_500yearflood_only_base_rcp4p5,climate_change_1000yearflood_only_base_rcp4p5,climate_change_only_2yearflood_base_rcp8p5,climate_change_only_5yearflood_base_rcp8p5,climate_change_only_10yearflood_base_rcp8p5,climate_change_only_25yearflood_base_rcp8p5,climate_change_only_50yearflood_base_rcp8p5,climate_change_only_100yearflood_base_rcp8p5,climate_change_only_250yearflood_base_rcp8p5,climate_change_only_500yearflood_base_rcp8p5,climate_change_only_1000yearflood_base_rcp8p5,socio_econ_change_only_2yearflood_ssp2_historical,socio_econ_change_only_5yearflood_ssp2_historical,socio_econ_change_only_10yearflood_ssp2_historical,socio_econ_change_only_25yearflood_ssp2_historical,socio_econ_change_only_50yearflood_ssp2_historical,socio_econ_change_only_100yearflood_ssp2_historical,socio_econ_change_only_250yearflood_ssp2_historical,socio_econ_change_only_500yearflood_ssp2_historical,socio_econ_change_only_1000yearflood_ssp2_historical,socio_econ_change_only_2yearflood_ssp3_historical,socio_econ_change_only_5yearflood_ssp3_historical,socio_econ_change_only_10yearflood_ssp3_historical,socio_econ_change_only_25yearflood_ssp3_historical,socio_econ_change_only_50yearflood_ssp3_historical,socio_econ_change_only_100yearflood_ssp3_historical,socio_econ_change_only_250yearflood_ssp3_historical,socio_econ_change_only_500yearflood_ssp3_historical,socio_econ_change_only_1000yearflood_ssp3_historical,spatial_unit_name
0,0.0,2995626496.0,3735572480.0,4144049152.0,4326235648.0,4408102912.0,4651286528.0,4779577344.0,4865830912.0,540219205.6,7067471769.6,10420201011.2,12311333683.2,12916799897.6,13454988185.6,14044327065.6,14303286528.0,14652094054.4,155499254.2,6152921804.8,10272467916.8,12158031052.8,12941086310.4,13348145459.2,13912598272.0,14301970483.2,14696271052.8,162736175.6,5842975795.2,9670445516.8,11464983961.6,12240445440.0,12650179276.8,13211992832.0,13586621081.6,13953367449.6,169174409.84434626,2522862325.3352094,3518788467.700891,4059396406.1457353,4290290770.639763,4440988343.803125,4682711901.548996,4775876825.937438,4870363200.337439,64512530.03349769,2253363943.90816,3485691018.275241,4013203021.18875,4300486785.89646,4426725783.929988,4668767689.670622,4792003263.662587,4902198924.462587,0.0,8583128934.4,11069816064.0,12570685644.8,13035091763.2,13322249318.4,13921719040.0,14341393664.0,14645078630.4,0.0,8061180108.8,10408735180.8,11847978598.4,12320606208.0,12612231680.0,13190213171.2,13580437145.6,13882507878.4,AFGHANISTAN
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?AND ISLANDS
2,0.0,1136545280.0,1489405696.0,1768600320.0,1786390784.0,1808422656.0,1827246848.0,1839178752.0,1879982592.0,227663684.2,2042266680.1481605,2354614237.6909018,2630817098.3019633,2668359561.6626496,2715060183.6327825,2741395795.9383154,2755858697.1326704,2800004435.8904147,34518128.14637796,1845623602.9647548,2218724434.473592,2629743674.5333824,2634658477.6122003,2712017141.007753,2734712582.6185846,2751677172.8982153,2797836244.64139,41727934.096401,1833210732.6274292,2229301758.272714,2679856477.5632596,2685883192.207879,2774403052.267953,2801451313.0008903,2821175283.836266,2871289734.248053,135850722.1314376,1418266361.0850263,1594341344.927445,1808512817.4669158,1821329747.5955415,1849483343.5379345,1869209563.8058572,1880203485.8926575,1920506622.5985577,29973967.471446823,1325099592.1731052,1485562888.1957176,1772569276.4568322,1776078319.6568322,1830307329.5665798,1846621595.7297542,1860374604.8756096,1902363820.062303,0.0,1490281984.0,2228646656.0,2604961228.8,2652239308.8,2692499302.4,2716417280.0,2733173504.0,2778535526.4,0.0,1518346956.8,2242772019.2,2640473241.6,2709421977.6,2752887808.0,2780421580.8,2801097267.2,2849975808.0,ALBANIA
3,0.0,8616627200.0,9674731520.0,10893474816.0,11277343744.0,11580659712.0,11810786304.0,12044036096.0,12279110656.0,408179048.99296874,11621806233.6,16870345523.2,20729969664.0,22119821721.6,23239447142.4,24325667225.6,24804308582.4,25211570995.2,3798671.165625,8089083827.2,15748739686.4,19589816729.6,20855690444.8,22208214835.2,23467771904.0,24208728883.2,24789931622.4,4366278.6765625,7848662784.0,15258548224.0,19071186534.4,20294853427.2,21622683033.6,22863660236.8,23593514188.8,24170962124.8,181354926.13603514,5877574041.6,8139394764.8,10030827520.0,10607155814.4,11085381427.2,11590789529.6,11840855654.4,12050766028.8,2434744.5505002514,4216281739.2169175,7548113626.560511,9474463195.60294,9993579835.429523,10584600729.914295,11172980118.412844,11543501391.506542,11833645657.96799,0.0,17494002483.2,20133570560.0,22547769548.8,23521287372.8,24292857241.6,24780752896.0,25221329305.6,25667839590.4,0.0,16965392179.2,19587817062.4,21965684121.6,22912666828.8,23667269017.6,24163354214.4,24605583769.6,25060732928.0,ALGERIA
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMERICAN SAMOA
5,0.0,327868096.0,384288512.0,697235200.0,697235200.0,697235200.0,697235200.0,697235200.0,697235200.0,39463782.4,477296049.72568,630333691.2787932,862367155.3627102,890781376.1627102,919588397.9928764,919588397.9928764,1014328849.8462703,1014328849.8462703,86906277.4046014,535996390.57582694,628908739.3197207,901471792.5599477,901471792.5599477,930278814.3901141,1166748321.3302753,1166748321.3302753,1166748321.3302753,79696816.9327528,501235329.311129,586543088.2844062,846373829.7981344,846373829.7981344,869513882.5578362,1096337332.9268932,1096337332.9268932,1096337332.9268932,27886115.2,383046512.0309029,454341564.22865963,642967966.063193,642967966.063193,642967966.063193,642967966.063193,710434470.054261,710434470.054261,65009926.146826364,405619122.8371086,466299537.78814495,685222660.1076928,685222660.1076928,685222660.1076928,863040414.0328436,863040414.0328436,863040414.0328436,0.0,402865766.4,534263289.6,918072345.6,946486566.4,974900787.2,1003315008.0,1003315008.0,1003315008.0,0.0,381361792.0,494216825.6,861544499.2,884351820.8,907159142.4,929966464.0,929966464.0,929966464.0,ANDORRA
6,0.0,855600320.0,922672832.0,984520128.0,1036065856.0,1064959360.0,1128902528.0,1155679360.0,1189111680.0,213648031.4,1458350131.2,1606762227.2,1685508620.8,1775363558.4,1833860492.8,1929210329.6,1978892121.6,2038872243.2,216193477.8,1456392166.4,1598631974.4,1698242598.4,1774285721.6,1834095270.4,1935578892.8,1996267916.8,2053029401.6,220732303.6,1622547430.4,1805584985.6,1930159270.4,2018469427.2,2088188966.4,2200181107.2,2268171916.8,2331624704.0,102111101.8,872843225.6,942476915.2,981222796.8,1042376409.6,1070979340.8,1132619302.4,1161685696.0,1196287385.6,101717338.4,872583513.6,937269760.0,988623116.8,1043931852.8,1073862438.4,1136737587.2,1170895424.0,1203519628.8,0.0,1431858662.4,1575016076.8,1690121126.4,1761744000.0,1817478745.6,1923601600.0,1965703155.2,2027369984.0,0.0,1590803942.4,1777146611.2,1922004236.8,2003682022.4,2069816435.2,2185637107.2,2236404083.2,2303003699.2,ANGOLA
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANGUILLA
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANTARCTICA
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANTIGUA AND BARBUDA
