,current_2010_2yearflood_base_historical,current_2010_5yearflood_base_historical,current_2010_10yearflood_base_historical,current_2010_25yearflood_base_historical,current_2010_50yearflood_base_historical,current_2010_100yearflood_base_historical,current_2010_250yearflood_base_historical,current_2010_500yearflood_base_historical,current_2010_1000yearflood_base_historical,optimistic_2030_2yearflood_ssp2_rcp4p5,optimistic_2030_5yearflood_ssp2_rcp4p5,optimistic_2030_10yearflood_ssp2_rcp4p5,optimistic_2030_25yearflood_ssp2_rcp4p5,optimistic_2030_50yearflood_ssp2_rcp4p5,optimistic_2030_100yearflood_ssp2_rcp4p5,optimistic_2030_250yearflood_ssp2_rcp4p5,optimistic_2030_500yearflood_ssp2_rcp4p5,optimistic_2030_1000yearflood_ssp2_rcp4p5,business_as_usual_2030_2yearflood_ssp2_rcp8p5,business_as_usual_2030_5yearflood_ssp2_rcp8p5,business_as_usual_2030_10yearflood_ssp2_rcp8p5,business_as_usual_2030_25yearflood_ssp2_rcp8p5,business_as_usual_2030_50yearflood_ssp2_rcp8p5,business_as_usual_2030_100yearflood_ssp2_rcp8p5,business_as_usual_2030_250yearflood_ssp2_rcp8p5,business_as_usual_2030_500yearflood_ssp2_rcp8p5,business_as_usual_2030_1000yearflood_ssp2_rcp8p5,pessimistic_2030_2yearflood_ssp3_rcp8p5,pessimistic_2030_5yearflood_ssp3_rcp8p5,pessimistic_2030_10yearflood_ssp3_rcp8p5,pessimistic_2030_25yearflood_ssp3_rcp8p5,pessimistic_2030_50yearflood_ssp3_rcp8p5,pessimistic_2030_100yearflood_ssp3_rcp8p5,pessimistic_2030_250yearflood_ssp3_rcp8p5,pessimistic_2030_500yearflood_ssp3_rcp8p5,pessimistic_2030_1000yearflood_ssp3_rcp8p5,climate_change_2yearflood_only_base_rcp4p5,climate_change_5yearflood_only_base_rcp4p5,climate_change_10yearflood_only_base_rcp4p5,climate_change_25yearflood_only_base_rcp4p5,climate_change_50yearflood_only_base_rcp4p5,climate_change_100yearflood_only_base_rcp4p5,climate_change_250yearflood_only_base_rcp4p5,climate_change_500yearflood_only_base_rcp4p5,climate_change_1000yearflood_only_base_rcp4p5,climate_change_only_2yearflood_base_rcp8p5,climate_change_only_5yearflood_base_rcp8p5,climate_change_only_10yearflood_base_rcp8p5,climate_change_only_25yearflood_base_rcp8p5,climate_change_only_50yearflood_base_rcp8p5,climate_change_only_100yearflood_base_rcp8p5,climate_change_only_250yearflood_base_rcp8p5,climate_change_only_500yearflood_base_rcp8p5,climate_change_only_1000yearflood_base_rcp8p5,socio_econ_change_only_2yearflood_ssp2_historical,socio_econ_change_only_5yearflood_ssp2_historical,socio_econ_change_only_10yearflood_ssp2_historical,socio_econ_change_only_25yearflood_ssp2_historical,socio_econ_change_only_50yearflood_ssp2_historical,socio_econ_change_only_100yearflood_ssp2_historical,socio_econ_change_only_250yearflood_ssp2_historical,socio_econ_change_only_500yearflood_ssp2_historical,socio_econ_change_only_1000yearflood_ssp2_historical,socio_econ_change_only_2yearflood_ssp3_historical,socio_econ_change_only_5yearflood_ssp3_historical,socio_econ_change_only_10yearflood_ssp3_historical,socio_econ_change_only_25yearflood_ssp3_historical,socio_econ_change_only_50yearflood_ssp3_historical,socio_econ_change_only_100yearflood_ssp3_historical,socio_econ_change_only_250yearflood_ssp3_historical,socio_econ_change_only_500yearflood_ssp3_historical,socio_econ_change_only_1000yearflood_ssp3_historical,spatial_unit_name
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABW-5150
1,0.0,14026481.0,29592728.0,30569472.0,31744768.0,31851972.0,32086776.0,32097440.0,32109436.0,1097251.6,30045929.270552874,60913511.83488007,72264134.38442776,75694468.34227046,76219498.212452,76649167.87398985,77274105.98482652,77616999.25619625,0.0,21450245.915020403,60070933.247199334,72145407.32476857,74718610.992722,75661172.99510291,76102118.5585213,76136904.95852129,76419620.34190117,0.0,24062031.582624443,65351694.93169491,78619624.51479132,81357948.18873592,82381344.19360273,82870876.70201093,82912789.50201093,83227696.22584775,461990.25,8854074.04717537,25386913.814140923,30068406.077377908,31929863.069595195,32155714.759587556,32262266.59528301,32493611.141819328,32623952.306101255,0.0,4712143.098233823,25544251.56610522,29815899.03759081,31304457.009990193,31723839.65553968,31831986.454392076,31835233.654392075,31907459.930793345,0.0,46912224.8,69696107.2,73947719.2,75765208.8,75931872.8,76426158.4,76709908.8,76912979.6,0.0,51941800.4,75829627.2,80582156.0,82497856.8,82673616.8,83207585.6,83533096.0,83765397.2,AFG-1741
2,0.0,14438553.0,32131556.0,51160052.0,52170500.0,52915212.0,55253172.0,56023044.0,56550996.0,333451.9184619455,32162255.089240372,63118694.200343415,122821893.13883047,125009765.60717937,127579251.09564403,131508541.5812768,135161834.02411243,137524933.08623064,0.0,20272743.912629593,72138988.52494177,118774683.49167831,123557011.2482435,126508447.72342741,128541387.86148289,131110933.43918891,132871170.14210805,0.0,22622759.692393925,79761522.29567687,129353884.37889834,134605617.93384427,137829391.54508573,140184096.34807068,143043326.39612,145227728.63797194,141343.8725536978,9796370.699092638,19250840.679569714,51423951.02359146,52232906.41506471,53507750.33204951,55226663.45403192,56545297.8707072,56941500.41811381,0.0,8350857.784252964,23279003.308476306,49416122.427228644,51342119.270429276,52216428.11164896,52942757.44748248,54040807.46496805,54752850.61850858,0.0,44773605.4,95497239.2,122488577.6,125242995.2,126902106.4,132825580.8,134758222.4,137877368.0,0.0,49413687.0,105191351.2,133401688.0,136445328.0,138247584.8,144742428.8,147159086.4,150696977.6,AFG-1742
3,0.0,20706942.0,29315654.0,31232202.0,45477260.0,45677020.0,45677020.0,45677020.0,45677020.0,0.0,29482685.632132746,58367129.843203284,68896073.82819399,89078408.5180593,89577894.87819497,93531257.67819497,100514082.12596312,103882554.1996358,0.0,5621155.551556758,45718635.15027137,66690825.272393644,79636369.118179,79752949.36506888,84478648.27376091,98662423.2139089,101613459.2139089,0.0,5995791.018005401,49605905.267716825,72460468.0663895,85926950.1111375,86043529.51861128,91465023.75287315,106915917.98751195,110318286.78751194,0.0,13218952.5059166,25607715.282600116,29909620.79699459,42545653.71187589,42662268.53298372,42671815.73298372,45710865.47440599,45710865.47440599,0.0,3809579.091269226,20317964.29433963,28980424.242619343,38424667.25523303,38501309.092430845,38827769.49243085,44724039.809184805,44724039.809184805,0.0,47312297.2,67721240.8,72720988.4,92054796.8,93317819.6,101566417.2,101566417.2,104915014.8,0.0,51381354.4,73595092.0,79066409.2,99178491.2,100604123.6,110114246.0,110114246.0,113974971.6,AFG-1743
4,0.0,18017154.0,50359644.0,90101736.0,116995104.0,133048784.0,149734016.0,160300640.0,170516080.0,12698940.2,63225108.2,115275767.6,224529816.0,283388305.6,332315414.4,379279056.0,405727193.6,433478579.2,5778664.7,27884336.2,94847500.4,185012376.0,273202990.4,318602860.8,366451446.4,395890272.0,413920608.0,6245280.7,30198062.2,101924474.8,198891288.0,294515224.0,344005612.8,396791088.0,429321363.2,449397497.6,5108618.3,15043149.4,36931694.4,90641195.66922519,124645891.54945281,148907838.76483217,170563844.58137235,181906949.7535686,192639064.87384945,2327632.45,9064867.010276925,26900240.410276927,72539584.12171951,116778380.03154442,138094017.6761925,158768241.7697032,171021218.73074275,177510862.43258688,0.0,66688985.4,150285463.6,230494369.6,282582843.2,316641484.8,356633702.4,382149260.8,410959116.8,0.0,71341644.6,162088947.6,248513880.0,304792702.4,341896953.6,385860476.8,413916832.0,445901331.2,AFG-1744
5,0.0,39386840.0,88965720.0,109721528.0,111499416.0,111957088.0,114677304.0,115039624.0,136069056.0,3953073.9683811963,107617353.74162853,222344551.9434351,295634067.1757152,321062690.64012647,321710796.5056318,325077394.3635138,329261842.2037507,367175877.0629989,0.0,43904748.912495874,211809854.81964093,283640670.4457456,301707392.16490966,302341851.36490965,319872390.7497883,325297472.3588543,347017549.59717864,0.0,49930766.68611693,235841709.80574074,316719477.7606475,336794425.4483641,337476948.64836407,354834505.92836714,361092010.49047995,383273963.72854525,1219115.5927267065,35087294.78514438,78783527.73151942,105171572.90203725,111095427.92350969,111256021.5235097,112507424.54632273,113538075.59775572,138326369.1541054,0.0,12867134.500077352,78260827.46075568,99839830.02631739,105061122.18423444,105381251.78423443,111483679.13489309,112619379.04070659,132408733.32658704,0.0,142509754.5,250395918.4,300123112.0,303422683.2,322948612.8,330054728.0,343471030.4,371231571.2,0.0,161361516.5,279631000.0,334207521.6,337799483.2,358402680.0,366356955.2,379915555.2,408979699.2,AFG-1745
6,0.0,47766200.0,103134312.0,121390136.0,148258416.0,153339952.0,161944256.0,169963088.0,178528272.0,43393654.164537184,132736090.7188623,234236823.95473796,314072857.71318233,362871259.88879406,383909856.6887941,404164683.5048643,420890637.09653765,440943827.0283329,13331749.6,95195347.2,229334185.6,283531660.8,351112211.2,376184292.8,394740864.0,410938217.6,425799219.2,14656577.6,106920048.0,251183382.4,310108153.6,381965043.2,410116068.8,430555648.0,448110332.8,464253657.6,13246872.743225642,40276149.693701796,98042873.87478465,129175794.96011874,157727691.07571802,164449799.87571803,172341724.57597274,180806584.13113007,189643625.01474446,5301968.884389466,25054740.890102874,91068977.50119784,110453080.05490807,146543856.36679402,153725913.2876594,160450785.00206795,168019167.55673057,174553572.45148763,0.0,151089848.0,258742976.0,310645814.4,349543984.0,374926628.8,398712569.6,415858480.0,435971923.2,0.0,167657499.2,283022924.8,339510611.2,380344377.6,408663972.8,434884614.4,453422339.2,475360262.4,AFG-1746
7,0.0,1511593.125,8147748.0,20698536.0,20961610.0,21541526.0,26767754.0,36224224.0,36224224.0,86000.5625,8416516.121745821,14792464.09133361,44307309.17845515,50814844.2976615,57480144.2380598,66043604.61835806,82750194.07692829,86715930.07692829,0.0,905498.486552578,8778392.338791713,37640027.120088935,46442150.481094696,59414006.85915991,70423922.52871123,79988755.10144895,87158756.70144895,0.0,1131522.7233585347,10314952.879381662,41674326.7321411,51645925.943080515,65736442.61031864,77379384.1442485,86934518.98738423,94739427.78738424,36209.9875,1343890.8496444605,2904991.755776661,13851064.607003435,14155065.862422284,17616195.551261466,24389758.78200796,37797575.84734125,39749973.51792391,0.0,9512.25,843082.1,11206403.03459059,12570808.995954828,18525906.366597336,25711315.06376991,35847298.03534593,38980133.3065888,0.0,11655801.525,35476996.2,58657401.6,67879950.0,69295006.4,76603982.8,86075564.0,86126539.2,0.0,13207268.125,39656799.4,64462947.2,75055808.4,76598593.6,84226123.6,93700016.8,93758788.8,AFG-1747
8,0.0,3675421.0,18835502.0,50169352.0,50492096.0,56953912.0,62999024.0,62999024.0,62999024.0,0.0,17266944.733282905,41692354.24775326,120749191.5675827,136877386.22153354,147390138.7593208,161211851.49222144,164176037.4410778,165966632.64107782,0.0,3080788.353164342,23950766.73988485,101579636.35510118,126227643.05808225,141376858.13224405,154307503.58610564,162225987.29972923,164074406.49972922,0.0,3314979.4141523927,22825883.64609616,100804015.99883917,128022437.38141441,144549812.63945216,158128862.5423167,166817496.7781797,168829592.7781797,0.0,3393840.034385301,10750372.932473056,43799014.40693694,49426727.200980425,56825771.37189995,66099754.979839526,67347653.87300877,68101415.47300878,0.0,1567822.1123171607,5271780.448973389,35693150.656999335,45173539.50568573,51538683.83185303,60396479.22647618,63307299.717316434,64086210.96059636,0.0,18711998.45625,69239362.7,133780876.0,140571461.6,156489084.8,163126503.2,164204974.4,164206088.0,0.0,18869321.45625,68378639.7,135856591.2,143636424.8,161000233.6,167728253.6,168971675.2,168972942.4,AFG-1748
9,0.0,19416968.0,38566972.0,45055440.0,51916400.0,54770772.0,56401724.0,56874812.0,59164716.0,0.0,35231758.0,81449162.4,101175841.6,116769336.8,123602011.2,128794171.2,132006864.8,137193674.4,1523.77138671875,29759345.2,68647129.6,95061032.0,109480564.0,117895057.6,125209817.6,130096716.0,136230855.2,1658.6935546875,33770857.6,75730162.4,105004102.4,120666223.2,129717278.4,137567329.6,142958727.2,149521996.0,0.0,10762120.688379813,34427740.233623244,41820840.061193064,50390371.68026092,53698798.57737224,54420879.31082924,54703471.31082924,56740095.92822051,642.0581836344174,9984153.51906217,28759472.501906477,38769819.55993648,47292304.81384722,51774735.23314465,52857911.25900601,53735775.259006,56536804.62497938,0.0,54255707.6,90657649.6,109422091.2,120517541.6,125395788.8,133344835.2,137566479.2,142971636.0,0.0,60602055.6,99867187.2,120706539.2,132465724.0,137706952.0,146061302.4,150708348.0,156452426.4,AFG-1749
