,current_2010_2yearflood_base_historical,current_2010_5yearflood_base_historical,current_2010_10yearflood_base_historical,current_2010_25yearflood_base_historical,current_2010_50yearflood_base_historical,current_2010_100yearflood_base_historical,current_2010_250yearflood_base_historical,current_2010_500yearflood_base_historical,current_2010_1000yearflood_base_historical,optimistic_2030_2yearflood_ssp2_rcp4p5,optimistic_2030_5yearflood_ssp2_rcp4p5,optimistic_2030_10yearflood_ssp2_rcp4p5,optimistic_2030_25yearflood_ssp2_rcp4p5,optimistic_2030_50yearflood_ssp2_rcp4p5,optimistic_2030_100yearflood_ssp2_rcp4p5,optimistic_2030_250yearflood_ssp2_rcp4p5,optimistic_2030_500yearflood_ssp2_rcp4p5,optimistic_2030_1000yearflood_ssp2_rcp4p5,business_as_usual_2030_2yearflood_ssp2_rcp8p5,business_as_usual_2030_5yearflood_ssp2_rcp8p5,business_as_usual_2030_10yearflood_ssp2_rcp8p5,business_as_usual_2030_25yearflood_ssp2_rcp8p5,business_as_usual_2030_50yearflood_ssp2_rcp8p5,business_as_usual_2030_100yearflood_ssp2_rcp8p5,business_as_usual_2030_250yearflood_ssp2_rcp8p5,business_as_usual_2030_500yearflood_ssp2_rcp8p5,business_as_usual_2030_1000yearflood_ssp2_rcp8p5,pessimistic_2030_2yearflood_ssp3_rcp8p5,pessimistic_2030_5yearflood_ssp3_rcp8p5,pessimistic_2030_10yearflood_ssp3_rcp8p5,pessimistic_2030_25yearflood_ssp3_rcp8p5,pessimistic_2030_50yearflood_ssp3_rcp8p5,pessimistic_2030_100yearflood_ssp3_rcp8p5,pessimistic_2030_250yearflood_ssp3_rcp8p5,pessimistic_2030_500yearflood_ssp3_rcp8p5,pessimistic_2030_1000yearflood_ssp3_rcp8p5,climate_change_2yearflood_only_base_rcp4p5,climate_change_5yearflood_only_base_rcp4p5,climate_change_10yearflood_only_base_rcp4p5,climate_change_25yearflood_only_base_rcp4p5,climate_change_50yearflood_only_base_rcp4p5,climate_change_100yearflood_only_base_rcp4p5,climate_change_250yearflood_only_base_rcp4p5,climate_change_500yearflood_only_base_rcp4p5,climate_change_1000yearflood_only_base_rcp4p5,climate_change_only_2yearflood_base_rcp8p5,climate_change_only_5yearflood_base_rcp8p5,climate_change_only_10yearflood_base_rcp8p5,climate_change_only_25yearflood_base_rcp8p5,climate_change_only_50yearflood_base_rcp8p5,climate_change_only_100yearflood_base_rcp8p5,climate_change_only_250yearflood_base_rcp8p5,climate_change_only_500yearflood_base_rcp8p5,climate_change_only_1000yearflood_base_rcp8p5,socio_econ_change_only_2yearflood_ssp2_historical,socio_econ_change_only_5yearflood_ssp2_historical,socio_econ_change_only_10yearflood_ssp2_historical,socio_econ_change_only_25yearflood_ssp2_historical,socio_econ_change_only_50yearflood_ssp2_historical,socio_econ_change_only_100yearflood_ssp2_historical,socio_econ_change_only_250yearflood_ssp2_historical,socio_econ_change_only_500yearflood_ssp2_historical,socio_econ_change_only_1000yearflood_ssp2_historical,socio_econ_change_only_2yearflood_ssp3_historical,socio_econ_change_only_5yearflood_ssp3_historical,socio_econ_change_only_10yearflood_ssp3_historical,socio_econ_change_only_25yearflood_ssp3_historical,socio_econ_change_only_50yearflood_ssp3_historical,socio_econ_change_only_100yearflood_ssp3_historical,socio_econ_change_only_250yearflood_ssp3_historical,socio_econ_change_only_500yearflood_ssp3_historical,socio_econ_change_only_1000yearflood_ssp3_historical,spatial_unit_name
0,0.0,2444396.5,3041682.75,3377498.5,3518291.75,3582677.75,3780256.0,3885927.25,3952661.0,264322.2725585938,3549449.8375,5164428.65,6041251.8,6331319.15,6583085.65,6887704.8,7008756.5,7161793.25,67260.92998046875,3107239.4875,5092798.3,5969320.0,6347531.05,6533324.85,6824116.9,7009772.0,7186531.05,77984.65703125,3188303.3375,5189628.7,6100285.1,6505039.75,6710350.95,7019025.3,7212127.7,7392809.95,137750.54959886364,2046296.6161369388,2862195.4419701356,3305791.08411169,3485970.6062954934,3609196.655355039,3804220.7299079015,3880106.9302499644,3953210.2802499644,46747.58629325786,1827719.3322246063,2835292.473283824,3269076.166086809,3496026.404252576,3598348.7353448705,3793400.0936905816,3894039.2068130807,3980198.6068130806,0.0,4316302.45,5486478.45,6174342.4,6396033.15,6518582.45,6830190.4,7033739.8,7164039.05,0.0,4382025.85,5584075.4,6306523.9,6550362.95,6687341.35,7008534.9,7213206.9,7355085.25,AFGHANISTAN
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,?AND ISLANDS
2,0.0,147420.1875,193511.734375,229960.75,232289.53125,235172.96875,237636.328125,239194.15625,244523.390625,19332.422528590985,188319.6306917488,206360.88887680584,229989.57587753437,230491.99190660432,233558.9731684754,235508.84182852646,236602.9259482665,241437.1074789812,2930.1137012026434,173154.9875587822,193696.8586588161,225992.3467782732,226371.2467782732,231905.9613996666,233514.07246455541,234944.46354299271,239916.9383625808,3778.749637538461,181650.14789631945,205302.94530502014,243806.87593604758,244267.3259360476,251430.02800960783,253552.1610089134,255317.5829583461,260746.39537202474,17810.86936664837,184381.46826373832,207251.0332653115,235221.50470558173,236895.2231906463,240578.541546024,243161.62804919583,244601.96592992847,249867.27522217203,3920.4070888680058,172129.03690320504,193083.32522922053,230567.02638118682,231026.59513118683,238114.90273670442,240254.81073727823,242053.85251095504,247538.9825679582,0.0,144058.39661768486,192403.55399400863,224811.11517830603,225465.90267830604,227936.06941144852,229904.69026168413,230927.7348554455,235773.65414752514,0.0,152760.2703125,205948.771875,243516.91875,245729.825,248846.103125,251288.759375,252814.615625,258112.909375,ALBANIA
3,0.0,1139277.375,1279176.875,1440268.375,1491018.75,1531123.5,1561577.125,1592405.375,1623483.75,33310.18680254221,991079.19375,1395311.95,1715577.8,1821464.225,1906382.05,1992988.5,2033283.2,2066975.15,307.1060386503875,702771.4079977127,1303785.9671952561,1622465.462094178,1718312.712094178,1822228.013011401,1922992.635107354,1984697.7544172076,2032573.9257528267,373.7378379821777,716577.946875,1334844.625,1668987.6,1767848.325,1876691.225,1982017.375,2046192.7,2096477.025,23973.986166369916,777093.625,1076099.8875,1326175.625,1402369.375,1465633.1,1532487.375,1565548.3,1593302.425,321.0033928116817,557439.2479546925,997929.1495222248,1252658.7630540554,1321299.3120797623,1399438.2620003424,1477248.2919332795,1526230.2059374633,1564589.283594918,0.0,1470363.925,1661679.35,1863948.2,1935850.6,1992362.175,2030177.45,2067374.025,2104266.8,0.0,1504180.275,1708870.5,1919016.5,1993990.475,2053318.5,2094308.725,2133623.975,2173342.825,ALGERIA
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMERICAN SAMOA
5,0.0,10979.5126953125,13072.150390625,23296.525390625,23296.525390625,23296.525390625,23296.525390625,23296.525390625,23296.525390625,1132.95361328125,14146.498333554939,17739.481955084375,24491.716903985227,24844.859482110227,25203.262749898495,25203.262749898495,27744.271504640776,27744.271504640776,2554.5334875694084,15415.026738947676,17975.59200236214,25753.399691012903,25753.399691012903,26111.802958801167,32545.97769934564,32545.97769934564,32545.97769934564,2369.6619114071036,14536.442721120326,16912.146153336816,24396.932263128056,24396.932263128056,24623.35489625674,30840.827836383767,30840.827836383767,30840.827836383767,964.6025390625,12830.735117301158,15363.597681949535,21524.617893524664,21524.617893524664,21524.617893524664,21524.617893524664,23723.84863654959,23723.84863654959,2236.6236858299226,13619.936370934438,15758.34140406174,22856.3434827454,22856.3434827454,22856.3434827454,28580.026547233905,28580.026547233905,28580.026547233905,0.0,12033.909375,15126.7396484375,26277.384765625,26630.52734375,26983.669921875,27336.8125,27336.8125,27336.8125,0.0,11486.08125,14121.240234375,24871.10859375,25094.05546875,25317.00234375,25539.94921875,25539.94921875,25539.94921875,ANDORRA
6,0.0,167222.484375,180346.1875,193922.03125,203966.515625,209658.875,222071.640625,227339.203125,233887.515625,31346.35302734375,221222.9734375,239398.25,251068.234375,265237.33125,273793.140625,288230.790625,295897.034375,304858.78125,31682.580322265625,220894.0390625,238237.8625,253003.4625,265149.96875,273886.95,289231.33125,298212.846875,306668.675,34019.41176757812,256546.3234375,281641.190625,301215.109375,315684.015625,326684.796875,344511.209375,355064.259375,364951.49375,19957.296606445314,170558.5265625,184126.621875,193000.44375,204928.8625,210895.878125,222579.878125,228569.38125,235346.784375,19837.93146972656,170462.325,183132.334375,194490.10625,205287.2,211495.30625,223428.596875,230102.2625,236468.571875,0.0,217174.6859375,234833.525,252009.378125,263488.978125,271329.275,287602.434375,293895.903125,303101.50625,0.0,251558.5421875,277337.83125,300244.065625,313666.140625,323696.259375,342467.884375,350409.834375,360820.15625,ANGOLA
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANGUILLA
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANTARCTICA
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANTIGUA AND BARBUDA
10,0.0,2175962.0,2722225.0,3150123.25,3444620.25,3691236.25,4143626.25,4415434.0,4750150.0,643518.77109375,2524444.825,3222574.7,3763775.0,4121140.5,4416277.65,4964863.2,5326768.75,5755256.8,422248.5984375,2315191.4,3036362.8,3630529.8,3945574.8,4269745.45,4820226.8,5176100.75,5579757.7,442210.6046875,2422291.525,3178751.8,3808074.8,4142454.5,4485695.5,5061330.1,5436706.85,5857315.5,554447.41328125,2200985.875,2805124.2,3254425.2,3550645.7,3794441.9,4268582.85,4570028.95,4943342.8,362448.6390625,2018557.875,2643722.55,3139173.95,3400007.0,3668233.15,4144259.6,4440397.95,4793703.6,0.0,2492876.725,3124185.65,3640945.45,3997874.95,4297718.1,4821066.6,5148548.55,5531474.5,0.0,2608422.425,3270729.15,3818997.0,4197050.35,4514682.3,5061999.0,5407685.95,5806234.3,ARGENTINA
11,0.0,75783.234375,122877.6484375,170237.203125,170261.8125,175552.578125,187517.890625,214054.453125,214321.484375,18.695349056775175,49292.87677985187,108753.41710067152,160228.3691746869,165477.1484577127,169418.15968870206,182204.5043711221,207765.7282181038,225245.47070505493,200.96720362142358,46159.70095602635,98221.6846796407,167811.67203410188,167811.67203410188,177734.46475230565,185319.05967950774,207189.82437289332,215103.47161886757,180.69317496515492,47210.16831100483,102152.89996341907,174853.67132060096,174853.67132060096,185390.88237448415,193112.6849971,214943.548227771,222933.71909306655,26.178248248688032,48220.69904074064,110445.50803388101,162339.80931963073,167346.6260987418,171503.4902351832,183349.7971702581,208630.5011923259,225365.22461806363,151.1783162538181,44961.39880041116,100016.53786817376,168960.81962887725,168960.81962887725,179484.28397667207,186649.34252891783,208196.88405228374,215626.00579352328,0.0,74978.15133143662,123168.04590011577,167590.8320126036,168205.06951260363,173908.82707369182,186835.7704030165,213738.38740746034,213894.74427988572,0.0,78012.47764239779,127233.70861269339,174544.09893340437,175345.2426834044,181188.47584032424,194639.61742648506,221976.05333394237,222164.5686567091,ARMENIA
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARUBA
13,0.0,748215.625,913040.6875,997336.8125,1073774.5,1133086.0,1216756.75,1262562.5,1312436.75,131975.50786132814,911881.6875,1163112.1,1303431.7125,1409197.9875,1483279.1125,1607288.15,1671851.325,1731306.45,164613.86953125,893834.95,1144575.725,1288016.1875,1396339.6625,1475106.0875,1592280.3,1663525.075,1735227.025,149435.98515625,817803.45,1046071.4875,1172040.6875,1271498.8125,1342580.3375,1450211.4,1514707.575,1579981.5,99837.96198730469,707977.2125,902755.4625,999443.8375,1082530.7,1137609.1875,1234460.0625,1282818.775,1328369.15,123063.298828125,694902.95,889096.65,987858.3,1073176.0375,1131236.8625,1223033.75,1276198.475,1330679.95,0.0,962024.4625,1174951.7875,1298891.9375,1395969.5125,1476916.8875,1583107.25,1644498.175,1709817.95,0.0,879706.775,1073646.65,1181911.8375,1271160.7875,1344221.9625,1441891.775,1497445.225,1556924.225,AUSTRALIA
14,0.0,329747.0,557718.375,599215.875,648336.0625,682195.25,715979.0,744638.25,757582.0625,1191.9524017333983,379794.22109375,633468.56875,695071.7625,759694.484375,804384.575,856080.703125,885565.11875,905912.4875,39857.11830749512,390762.26875,609117.9953125,745684.66875,820823.53125,865085.85,915908.703125,946968.121875,969239.425,36101.69440002441,376112.0921875,580249.153125,703899.803125,774456.0,815435.2125,861495.284375,890029.575,909634.775,1106.749966430664,362852.42890625,598592.15,653749.775,714578.053125,755203.0125,800961.790625,827735.7125,845408.0125,35574.03235168457,375507.934375,577097.8328125,698778.128125,768498.259375,808817.609375,853969.771875,882022.7,901165.425,0.0,340896.6015625,585723.3296875,632663.603125,683382.715625,720006.646875,757753.1625,789483.265625,804746.15,0.0,330042.496875,560009.909375,602259.49375,651458.0125,685752.421875,720156.434375,749311.05,762622.840625,AUSTRIA
15,0.0,299827.53125,371840.625,432925.5,462736.21875,513144.5,538968.5625,564888.9375,580018.125,1551.2012183759387,300389.38447313866,378287.20350270794,440016.2458251547,471558.15457241406,520765.05100501963,546403.5491562204,568978.5976758027,592645.5939556237,743.2547209600388,276982.2249550728,368681.99080633384,439456.41497394035,468582.90581623605,532683.2265565374,553802.2646440731,586561.9236945674,624011.8522770756,670.6518414807874,306327.3993988427,404828.8962462755,482040.56031951803,513882.8472043589,579166.9909867126,604444.2153608615,639591.9118230902,677102.144710792,1204.493275007019,290963.31642902654,369764.79729897156,429340.1023755053,459900.81394956587,506394.9975760661,530968.1359604467,553260.4239286219,576448.0159928828,544.1431349762948,269866.67690666526,358943.18842522835,427995.43717055226,456044.72873000073,515005.93250753434,534665.5605944532,566047.780847578,597794.7726404441,0.0,310124.23125,381034.675,443885.5875,475432.55,527910.59375,554617.28125,580498.48125,596978.68125,0.0,341176.58125,419333.41875,486688.58125,521584.525,576506.80625,608154.75,637050.7,654533.3375,AZERBAIJAN
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAHAMAS
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAHRAIN
18,0.0,20962774.0,26852472.0,34382172.0,39199248.0,43641180.0,49104536.0,52461140.0,56188060.0,16392426.2,32928038.0,41119743.6,51486834.4,57987238.4,63349273.6,69909636.8,73665724.0,78099431.2,17178722.6,33828042.8,41970253.2,51609616.8,57750203.2,62675597.6,69289324.8,72921359.2,77196648.8,18451745.6,36411019.6,45204687.6,55490003.2,62009984.8,67284620.0,74297673.6,78187900.0,82671962.4,13837150.0,27209413.2,33969755.2,42486497.6,47734309.6,51963863.2,57383848.0,60311495.2,63894833.6,14608868.8,27980331.6,34604776.8,42457511.2,47412740.8,51347215.2,56766823.2,59625640.0,63142279.2,0.0,25658466.0,32794127.2,41889051.2,47776861.6,53345867.2,60056587.2,64261967.2,68809672.8,0.0,27583648.0,35387626.0,45190390.4,51494539.2,57428455.2,64516799.2,69031693.6,73792525.6,BANGLADESH
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BARBADOS
20,0.0,284031.625,355729.5,436630.375,449034.78125,466511.1875,476792.9375,522319.09375,543486.1875,29051.104585114546,186769.5665361768,266023.19687287894,363006.30352694646,363840.60352694645,385867.0038743218,402576.3319677961,441980.56857375463,458824.7764144616,11705.434894536642,167279.10332266445,274754.29476629157,374044.5172697697,377904.8120615039,390587.5384623727,398416.3112455428,438151.65795507206,468139.9729340412,11594.165115229727,170186.82156931804,281475.2891460451,385355.83726218913,390394.53107577644,404425.4151806909,413188.0081185636,454020.1106809606,484109.8731559963,30117.044207528885,202826.11953509395,294018.03189834964,402920.6081687782,405521.1581687782,430605.7296106989,450899.71634794434,492612.313581661,511341.4386664413,12186.667638104966,181133.2507218732,301990.29629088764,413387.1907267062,420261.4089816663,436445.673402722,446801.04911770404,489302.383987893,521135.19242530025,0.0,258391.365625,320108.3,394513.575,403059.94375,416895.2375,423817.8375,467039.91875,486290.3625,0.0,264836.94375,330293.09375,407357.5875,416834.31875,432092.775,440385.45,484289.1,504049.225,BELARUS
