,current_2010_2yearflood_base_historical,current_2010_5yearflood_base_historical,current_2010_10yearflood_base_historical,current_2010_25yearflood_base_historical,current_2010_50yearflood_base_historical,current_2010_100yearflood_base_historical,current_2010_250yearflood_base_historical,current_2010_500yearflood_base_historical,current_2010_1000yearflood_base_historical,optimistic_2030_2yearflood_ssp2_rcp4p5,optimistic_2030_5yearflood_ssp2_rcp4p5,optimistic_2030_10yearflood_ssp2_rcp4p5,optimistic_2030_25yearflood_ssp2_rcp4p5,optimistic_2030_50yearflood_ssp2_rcp4p5,optimistic_2030_100yearflood_ssp2_rcp4p5,optimistic_2030_250yearflood_ssp2_rcp4p5,optimistic_2030_500yearflood_ssp2_rcp4p5,optimistic_2030_1000yearflood_ssp2_rcp4p5,business_as_usual_2030_2yearflood_ssp2_rcp8p5,business_as_usual_2030_5yearflood_ssp2_rcp8p5,business_as_usual_2030_10yearflood_ssp2_rcp8p5,business_as_usual_2030_25yearflood_ssp2_rcp8p5,business_as_usual_2030_50yearflood_ssp2_rcp8p5,business_as_usual_2030_100yearflood_ssp2_rcp8p5,business_as_usual_2030_250yearflood_ssp2_rcp8p5,business_as_usual_2030_500yearflood_ssp2_rcp8p5,business_as_usual_2030_1000yearflood_ssp2_rcp8p5,pessimistic_2030_2yearflood_ssp3_rcp8p5,pessimistic_2030_5yearflood_ssp3_rcp8p5,pessimistic_2030_10yearflood_ssp3_rcp8p5,pessimistic_2030_25yearflood_ssp3_rcp8p5,pessimistic_2030_50yearflood_ssp3_rcp8p5,pessimistic_2030_100yearflood_ssp3_rcp8p5,pessimistic_2030_250yearflood_ssp3_rcp8p5,pessimistic_2030_500yearflood_ssp3_rcp8p5,pessimistic_2030_1000yearflood_ssp3_rcp8p5,climate_change_2yearflood_only_base_rcp4p5,climate_change_5yearflood_only_base_rcp4p5,climate_change_10yearflood_only_base_rcp4p5,climate_change_25yearflood_only_base_rcp4p5,climate_change_50yearflood_only_base_rcp4p5,climate_change_100yearflood_only_base_rcp4p5,climate_change_250yearflood_only_base_rcp4p5,climate_change_500yearflood_only_base_rcp4p5,climate_change_1000yearflood_only_base_rcp4p5,climate_change_only_2yearflood_base_rcp8p5,climate_change_only_5yearflood_base_rcp8p5,climate_change_only_10yearflood_base_rcp8p5,climate_change_only_25yearflood_base_rcp8p5,climate_change_only_50yearflood_base_rcp8p5,climate_change_only_100yearflood_base_rcp8p5,climate_change_only_250yearflood_base_rcp8p5,climate_change_only_500yearflood_base_rcp8p5,climate_change_only_1000yearflood_base_rcp8p5,socio_econ_change_only_2yearflood_ssp2_historical,socio_econ_change_only_5yearflood_ssp2_historical,socio_econ_change_only_10yearflood_ssp2_historical,socio_econ_change_only_25yearflood_ssp2_historical,socio_econ_change_only_50yearflood_ssp2_historical,socio_econ_change_only_100yearflood_ssp2_historical,socio_econ_change_only_250yearflood_ssp2_historical,socio_econ_change_only_500yearflood_ssp2_historical,socio_econ_change_only_1000yearflood_ssp2_historical,socio_econ_change_only_2yearflood_ssp3_historical,socio_econ_change_only_5yearflood_ssp3_historical,socio_econ_change_only_10yearflood_ssp3_historical,socio_econ_change_only_25yearflood_ssp3_historical,socio_econ_change_only_50yearflood_ssp3_historical,socio_econ_change_only_100yearflood_ssp3_historical,socio_econ_change_only_250yearflood_ssp3_historical,socio_econ_change_only_500yearflood_ssp3_historical,socio_econ_change_only_1000yearflood_ssp3_historical,spatial_unit_name
0,0.0,86974922752.0,142607777792.0,216126619648.0,257887174656.0,300047269888.0,366280736768.0,410180780032.0,447580471296.0,12686314535.8,159116491161.6,272755328614.4,402880420249.6,481230985625.6,570565551718.4,678677138636.8,784326656000.0,863666995200.0,11437490526.2,143426851635.2,247936000000.0,372711659929.6,453630427136.0,531830007398.4,669509799116.8,749425590272.0,841170360729.6,10630091748.8,133591534796.8,231833863782.4,349597951590.4,424909347225.6,497989530419.2,627609193676.8,702115610624.0,787179103846.4,7900130516.7,93151399936.0,159977029632.0,240902963200.0,282000942694.4,332562169856.0,398602607001.6,459622704742.4,499126042624.0,6731931270.3,81781631385.6,143005697638.4,220192076595.2,262747330969.6,306343149568.0,390389609267.2,435176190771.2,481776658022.4,0.0,149285768396.8,245283423846.4,363161216614.4,441835408588.8,518217603481.6,625147294515.2,703304826880.0,779380962099.2,0.0,140132007936.0,230234038272.0,341809273241.6,415328482099.2,486669261209.6,587738539622.4,660780508774.4,731270538854.4,"Gulf of Mexico, North Atlantic Coast"
1,0.0,69565546496.0,110548369408.0,155055407104.0,187988164608.0,219006042112.0,264318763008.0,297626566656.0,333776191488.0,7687339520.0,103409073766.4,162197905408.0,231384498176.0,279627404083.2,324875786649.6,389539240345.6,436026484326.4,488600387584.0,8449395827.2,119798877388.8,178719984025.6,246400837222.4,295505960960.0,339642866073.6,409665545830.4,458421479014.4,512061990502.4,8085772364.8,115674196377.6,172254792089.6,237218771763.2,284416224460.8,326766441267.2,394227138560.0,441177889177.6,493030159155.2,4929111244.8,75225322086.4,115344062873.6,162355083673.6,196065307852.8,227188618035.2,273951073894.4,307056505651.2,345541551718.4,5378876377.6,85433778995.2,125549396787.2,171517355622.4,205702524108.8,236005241651.2,285927283097.6,320333722419.2,359496712192.0,0.0,94803661619.2,154612956364.8,219811168256.0,266838315827.2,311877058560.0,374335599411.2,421351578009.6,470208577536.0,0.0,91800355635.2,149396751155.2,212058039910.4,257316469145.6,300600177459.2,360932140646.4,406222838169.6,453510810828.8,"United States, North Atlantic Coast"
2,0.0,646327042048.0,918141206528.0,1174651928576.0,1360534831104.0,1527912071168.0,1751438458880.0,1922415591424.0,2090125492224.0,152385435750.4,1077302571827.2,1504887950540.8,1934349225164.8,2247875598745.6,2544385838284.8,2919827007078.4,3204432973004.8,3467806690508.8,171736924160.0,1168611731046.4,1581133581516.8,2026773518745.6,2342084542464.0,2639710126080.0,3032597266432.0,3329425539072.0,3611426737356.8,163550366105.6,1110672572416.0,1497818713292.8,1915551193497.6,2211921972428.8,2491135295488.0,2860232448409.6,3139181032243.2,3403599026585.6,96522249318.4,679120515891.2,938325350809.6,1197316689100.8,1390126248755.2,1566985263513.6,1794989516390.4,1967970687385.6,2125309935616.0,108591803596.8,735796415692.8,984397827276.8,1252900077568.0,1447062667264.0,1625184770457.6,1863839357337.6,2044319812812.8,2212871589068.8,0.0,1022777694617.6,1471317186969.6,1896835108044.8,2198916956160.0,2479048359936.0,2846877836902.4,3127804926361.6,3408163792486.4,0.0,973202882560.0,1394910678220.8,1793767243776.0,2077568663552.0,2340206673920.0,2685793651916.8,2949850988544.0,3212820689715.2,Mississippi - Missouri
3,0.0,56910290944.0,95131992064.0,134691405824.0,160812974080.0,185582206976.0,219285307392.0,243354288128.0,269569556480.0,1466573228.8,70303032934.4,133082157875.2,197601589657.6,241517278003.2,283167280332.8,336189440000.0,375072404275.2,416890571980.8,5783188428.8,86364365619.2,143316289126.4,212708089856.0,259585313996.8,302464499712.0,357636299161.6,397871690547.2,441178403635.2,5409265254.4,80725158707.2,133592476876.8,198446968012.8,242168286412.8,282128161177.6,333547195596.8,371004283289.6,411547972403.2,877917073.6,38945472921.6,76299549081.6,114220793856.0,139468257689.6,163065865830.4,193276746137.6,214981011046.4,239694813593.6,3479142016.0,51376488857.6,82702759526.4,123573354496.0,150570450944.0,174944383795.2,206457169510.4,229017688473.6,254701069926.4,0.0,100429378355.2,164394419814.4,231455186944.0,276936255078.4,320491267686.4,379128089804.8,421908945305.6,466059886592.0,0.0,93310884249.6,153200993894.4,215925347123.2,258315347558.4,298908660531.2,353620495564.8,393454190592.0,434800925081.6,Gulf Coast
4,0.0,141662502912.0,217773129728.0,302891368448.0,364171427840.0,418941829120.0,489952542720.0,553659269120.0,610763145216.0,21579062886.4,218532761600.0,340913186406.4,462010217267.2,552026141491.2,638529680179.2,747283267584.0,841309572300.8,930890330931.2,20424124134.4,251871016550.4,371211599872.0,500515766272.0,595284135116.8,682042733363.2,796949948006.4,897980543795.2,989165787545.6,19711243603.2,243671411097.6,359145226240.0,484381753344.0,576386213478.4,660498271436.8,771821754777.6,870049533132.8,958503603404.8,14063386624.0,155077799936.0,239612790374.4,323692314624.0,388103566131.2,448688147660.8,524747449958.4,593968319692.8,657921284505.6,13478686619.2,177124960665.6,259660975308.8,349204486553.6,416840898969.6,477722063667.2,557934696857.6,631742405017.6,696810772889.6,0.0,197790263705.6,307608561254.4,430262560358.4,515326073241.6,592864136396.8,693733933056.0,779521261568.0,858692642406.4,0.0,191588649369.6,297778492211.2,416562580684.8,499200370278.4,574388299366.4,672189248307.2,755690360012.8,832534944153.6,California
5,0.0,3133910528.0,7376411648.0,12060270592.0,14301543424.0,18046715904.0,21289457664.0,22484592640.0,24938639360.0,50730304.0,5857528195.2,11039312691.2,17576918553.6,20966540800.0,26071066726.4,30304916275.2,32708207001.6,36649657958.4,298798780.8,6448984636.8,12256994048.0,19295217177.6,23195902771.2,28795906355.2,34346450329.6,36650703052.8,39620444979.2,279941134.4,6212744432.0,11848087296.0,18647744640.0,22387301990.4,27807122739.2,33153366425.6,35309335347.2,38170273792.0,29787539.2,4481030589.704806,8604866239.630243,13441021374.762062,15812739960.074545,19685481097.75309,22716412505.689312,24118648716.889313,26868546283.946228,180036369.6,4847498556.8,9376124211.2,14567602048.0,17248328499.2,21435757260.8,25402068172.8,26628275404.8,28770527232.0,0.0,3690050902.4,9083292928.0,15330789606.4,18510572032.0,23446403788.8,27873994956.8,30071779123.2,33565626572.8,0.0,3603804694.4,8831741184.0,14875391820.8,17937415680.0,22714306764.8,26984990924.8,29057711923.2,32409043148.8,Great Basin
6,0.0,11775143936.0,22897743872.0,31442894848.0,38958972928.0,45989769216.0,53001572352.0,59957870592.0,65709096960.0,1482923590.4,18832086220.8,33982458880.0,47070421401.6,58577815552.0,68553399500.8,80000799539.2,90508890112.0,98735683174.4,927234889.6,20335743385.6,35017738240.0,48826666598.4,59950588313.6,70489869516.8,81589583872.0,92264573337.6,101082774732.8,892346572.8,19620242432.0,33826625536.0,47083973017.6,57841466163.2,68011621580.8,78674855526.4,88961232896.0,97438257971.2,983962724.8,12799150284.8,23409516748.8,31868337766.4,39959105945.6,47013506252.8,54709997568.0,62125130547.2,67741173350.4,603877348.8,13755675238.4,24070770688.0,33000364032.0,40853603942.4,48258224128.0,55708981657.6,63210554982.4,69217190707.2,0.0,17324322816.0,33241022873.6,46444820070.4,57074807193.6,67047613235.2,77477971558.4,87253644902.4,95669648588.8,0.0,16720890060.8,32115100876.8,44793807667.2,55068704358.4,64693035827.2,74711053926.4,84149669888.0,92241253990.4,"North America, Colorado"
7,0.0,24017391616.0,40275460096.0,57405222912.0,69882798080.0,84267679744.0,105185280000.0,119361929216.0,131109142528.0,4385673956.8,41815091404.8,65813810790.4,93250463334.4,115314580684.8,137587061555.2,167839105843.2,188231735705.6,205157949440.0,7567709635.2,49331971481.6,89057827635.2,125534126899.2,151121648844.8,174021283020.8,207983467724.8,231140229120.0,251092998553.6,7155573237.2,46900245504.0,84883381862.4,119556659609.6,143865247334.4,165684225638.4,198162465587.2,220344182374.4,239311424716.8,2699959192.0,27591792435.2,43833400524.8,61504134348.8,75512276582.4,90156331827.2,111119244492.8,125452603392.0,136344012390.4,4664620353.8,32238189568.0,58528625049.6,81888762265.6,98139778252.8,113212129280.0,136498866585.6,152569823232.0,165401906380.8,0.0,36091705548.8,60130904064.0,86720743014.4,106332122316.8,128179211468.8,158386340659.2,178578923520.0,196861168844.8,0.0,34350445158.4,57254472499.2,82485565849.6,101084277964.8,121874623692.8,150764064768.0,170097088921.6,187454323097.6,Columbia and Northwestern United States
8,0.0,1888897.625,1888897.625,11990063.0,20796252.0,20796252.0,34324692.0,43931444.0,52808020.0,0.0,1537562.5125106215,2558950.7863008576,8722008.55135278,23619676.197107524,30399904.645070635,50409095.2522874,58799428.39172004,67406424.79172005,0.0,1514787.5441145515,3158536.009176769,8559136.726285163,25757290.09867509,30042556.516784698,46515709.476518646,55547671.412663475,62563685.340272106,0.0,1515240.3212520184,2911695.6835557944,8050390.3307588175,24457917.04429755,28247438.73708886,43810328.656437024,52181384.7209603,58332829.43763671,0.0,1551125.4214170575,1551125.4214170575,6357223.016366355,17370162.364255805,20768487.86363841,33667981.409862176,39842263.00986218,44804504.80986218,0.0,1521582.634231671,1923563.643556058,6017997.567121733,19303848.4692407,21065086.2692407,31133622.918337874,37731253.30177533,41253106.10177533,0.0,2139853.0,3143674.5,18612927.975,28589091.575,29931113.6,48766847.4,61155678.2,82221308.0,0.0,2090438.35,2896601.25,17308847.725,27054636.125,28132406.4,45923098.6,57764118.2,76429677.6,Fraser
9,0.0,3907964672.0,9183592448.0,16054454272.0,19512133632.0,21458137088.0,25355020288.0,28063350784.0,29155440640.0,273663920.0,9036086528.0,18173717401.6,27790555955.2,33600102809.6,37537012736.0,43734409011.2,47453314662.4,50176806502.4,1664575966.8,10882968320.0,18556797849.6,28322550374.4,34054000640.0,38012342886.4,44841477529.6,49311127142.4,52298781081.6,1566849605.2,10238015078.4,17538578124.8,26870521856.0,32305704550.4,36034994380.8,42538736640.0,46771233177.6,49561184256.0,163857387.2,5234176665.6,11270045696.0,17736015462.4,21346165350.4,23570370969.6,27618858598.4,29812119961.6,31217213030.4,1017605628.8,6386689996.8,11486428774.4,18032405504.0,21576334131.2,23813069824.0,28248954265.6,30918532710.4,32477601382.4,0.0,6926629683.2,14784785715.2,25104581632.0,30712850432.0,34202935500.8,40200171315.2,44734158848.0,46958490419.2,0.0,6471541248.0,13976995020.8,23823938764.8,29139556352.0,32422212608.0,38125561241.6,42419166822.4,44486863667.2,Pacific and Arctic Coast
